country,year,avg_funders
JO,2022,1.3
JO,2023,1.0
JP,2014,1.0
JP,2015,2.0
JP,2016,2.323529411764706
JP,2017,1.723809523809524
JP,2018,1.6079295154185023
JP,2019,1.6341222879684418
JP,2020,1.7726384364820846
JP,2021,1.675
JP,2022,1.7074367685919214
JP,2023,1.634207240948814
KE,2016,1.0
KE,2017,1.4
KE,2018,1.0
KE,2019,1.5555555555555556
KE,2020,1.5555555555555556
KE,2021,1.4444444444444444
KE,2022,1.5555555555555556
KE,2023,1.6666666666666667
KG,2020,1.0
KH,2016,1.0
KH,2017,1.0
KH,2020,1.0
KH,2021,1.25
KH,2022,1.6666666666666667
KN,2021,2.0
KN,2022,1.0
KR,2014,1.5
KR,2015,2.1666666666666665
KR,2016,1.7878787878787878
KR,2017,1.8282828282828283
KR,2018,1.4704370179948587
KR,2019,1.3973758200562325
KR,2020,1.4847457627118643
KR,2021,1.4527465029000342
KR,2022,1.4517439891635624
KR,2023,1.6353887399463807
KW,2018,1.4
KW,2019,1.1666666666666667
KW,2020,1.0
KW,2021,2.8333333333333335
KW,2022,1.4285714285714286
KW,2023,2.5
KZ,2018,1.0
KZ,2019,1.0
KZ,2020,1.2380952380952381
KZ,2021,1.3333333333333333
KZ,2022,1.1944444444444444
KZ,2023,1.5
LA,2020,3.0
LA,2021,2.0
LB,2017,1.0
LB,2019,1.375
LB,2020,1.5833333333333333
LB,2021,1.3888888888888888
LB,2022,1.608695652173913
LB,2023,1.0
LC,2021,3.0
LK,2017,3.0
LK,2018,1.0
LK,2019,1.375
LK,2020,1.3333333333333333
LK,2021,1.0588235294117647
LK,2022,1.3
LK,2023,1.2
LS,2022,2.0
LT,2018,1.5
LT,2019,1.25
LT,2020,1.1764705882352942
LT,2021,1.1891891891891893
LT,2022,1.2222222222222223
LT,2023,1.0714285714285714
LU,2017,1.5
LU,2018,3.0
LU,2019,2.0
LU,2020,2.8636363636363638
LU,2021,2.4
LU,2022,1.4210526315789473
LU,2023,2.3333333333333335
LV,2017,1.0
LV,2018,2.3333333333333335
LV,2019,5.5
LV,2020,1.7777777777777777
LV,2021,1.6585365853658536
LV,2022,1.68
LV,2023,1.3333333333333333
LY,2017,1.0
LY,2020,1.0
LY,2021,1.0
LY,2022,1.0
MA,2017,1.0
MA,2018,2.0
MA,2019,1.0
MA,2020,1.625
MA,2021,1.0
MA,2022,1.6666666666666667
MA,2023,2.25
MC,2021,2.0
MD,2020,2.0
MD,2023,1.0
ME,2022,1.0
MG,2021,1.0
MG,2022,5.666666666666667
MK,2019,19.0
MK,2020,1.5
MK,2021,1.5454545454545454
MK,2022,1.6666666666666667
ML,2020,3.0
ML,2021,2.0
MM,2019,1.0
MM,2020,1.6666666666666667
MM,2021,1.0
MM,2022,2.5
MN,2019,2.0
MN,2020,1.0
MN,2021,1.0
MN,2022,1.5
MN,2023,3.0
MQ,2022,1.0
MR,2020,1.0
MT,2021,2.0
MT,2022,1.375
MU,2020,2.0
MU,2022,2.0
MV,2020,1.0
MW,2016,1.0
MW,2018,2.0
MW,2019,2.8
MW,2020,1.75
MW,2021,3.3333333333333335
MW,2022,2.3333333333333335
MX,2015,1.0
MX,2016,1.0
MX,2017,1.7
MX,2018,1.7142857142857142
MX,2019,1.72
MX,2020,1.5545454545454545
MX,2021,1.548476454293629
MX,2022,1.5181347150259068
MX,2023,1.4722222222222223
MY,2015,3.0
MY,2017,1.3333333333333333
MY,2018,1.7142857142857142
MY,2019,1.2708333333333333
MY,2020,1.2785714285714285
MY,2021,1.3375527426160339
MY,2022,1.302491103202847
MY,2023,1.2833333333333334
MZ,2018,2.5
MZ,2020,2.0
MZ,2022,1.0
MZ,2023,1.0
NE,2020,3.0
NG,2017,2.75
NG,2018,1.8333333333333333
NG,2019,2.1818181818181817
NG,2020,1.4
NG,2021,1.4545454545454546
NG,2022,1.6111111111111112
