organ,c1,c2,period_start,period_end,collab_count
kidney,DE,SE,2015,2019,10
kidney,ES,GB,2015,2019,10
kidney,CN,KR,2015,2019,10
kidney,FI,US,2015,2019,10
kidney,CN,TW,2015,2019,10
kidney,CN,JP,2015,2019,10
kidney,DE,IN,2015,2019,10
kidney,SG,US,2015,2019,9
kidney,CN,DE,2015,2019,9
kidney,IT,NL,2015,2019,9
kidney,CH,GB,2015,2019,9
kidney,FR,IT,2015,2019,9
kidney,BE,NL,2015,2019,9
kidney,AU,NL,2015,2019,9
kidney,CN,US,2020,2024,334
kidney,GB,US,2020,2024,260
kidney,CA,US,2020,2024,238
kidney,DE,US,2020,2024,196
kidney,IT,US,2020,2024,162
kidney,AU,US,2020,2024,127
kidney,KR,US,2020,2024,125
kidney,IN,US,2020,2024,112
kidney,FR,US,2020,2024,111
kidney,AU,GB,2020,2024,107
kidney,JP,US,2020,2024,100
kidney,GB,IT,2020,2024,91
kidney,NL,US,2020,2024,90
kidney,GB,NL,2020,2024,87
kidney,ES,US,2020,2024,87
kidney,DE,GB,2020,2024,76
kidney,CA,GB,2020,2024,75
kidney,BR,US,2020,2024,74
kidney,DE,IT,2020,2024,68
kidney,DE,NL,2020,2024,68
kidney,FR,GB,2020,2024,67
kidney,CN,GB,2020,2024,64
kidney,CN,DE,2020,2024,61
kidney,ES,GB,2020,2024,57
kidney,TW,US,2020,2024,56
kidney,ES,IT,2020,2024,55
kidney,SE,US,2020,2024,54
kidney,DK,US,2020,2024,54
kidney,GB,SE,2020,2024,50
kidney,CH,DE,2020,2024,49
kidney,AU,CA,2020,2024,46
kidney,TH,US,2020,2024,46
kidney,EG,SA,2020,2024,45
kidney,BE,NL,2020,2024,43
kidney,AT,DE,2020,2024,43
kidney,DE,FR,2020,2024,43
kidney,FR,IT,2020,2024,42
kidney,DE,ES,2020,2024,42
kidney,DE,SE,2020,2024,41
kidney,IT,NL,2020,2024,41
kidney,AU,CN,2020,2024,41
kidney,CN,TW,2020,2024,41
kidney,GB,GR,2020,2024,41
kidney,DK,GB,2020,2024,40
kidney,CH,US,2020,2024,39
kidney,GR,US,2020,2024,39
kidney,CA,CN,2020,2024,38
kidney,TR,US,2020,2024,37
kidney,AT,US,2020,2024,37
kidney,EG,US,2020,2024,35
skin,AU,DE,2010,2014,2
skin,CN,GB,2010,2014,2
skin,GB,SI,2010,2014,1
skin,FR,US,2010,2014,1
skin,AU,CH,2010,2014,1
skin,CH,DE,2010,2014,1
skin,IT,PL,2010,2014,1
skin,DE,IT,2010,2014,1
skin,DE,NL,2010,2014,1
skin,IN,US,2010,2014,1
skin,GB,US,2015,2019,86
skin,CN,US,2015,2019,85
skin,AU,US,2015,2019,50
skin,DE,US,2015,2019,48
skin,KR,US,2015,2019,43
skin,AU,GB,2015,2019,42
skin,FR,US,2015,2019,35
skin,CA,US,2015,2019,29
skin,NL,US,2015,2019,28
skin,IT,US,2015,2019,28
skin,CN,GB,2015,2019,27
skin,DE,GB,2015,2019,23
skin,CN,KR,2015,2019,21
skin,ES,US,2015,2019,21
skin,CH,US,2015,2019,21
skin,JP,US,2015,2019,19
skin,IN,US,2015,2019,19
skin,ES,IT,2015,2019,19
skin,CH,GB,2015,2019,18
skin,GB,IT,2015,2019,18
skin,FR,GB,2015,2019,18
skin,CA,GB,2015,2019,17
skin,BR,US,2015,2019,17
skin,GB,IE,2015,2019,16
skin,CH,DE,2015,2019,16
skin,ES,GB,2015,2019,14
skin,DE,ES,2015,2019,14
skin,SE,US,2015,2019,13
skin,AT,DE,2015,2019,13
skin,CN,TW,2015,2019,12
skin,AU,CN,2015,2019,11
skin,DK,US,2015,2019,11
skin,AT,US,2015,2019,10
skin,DE,NL,2015,2019,10
skin,CN,DE,2015,2019,10
skin,DE,DK,2015,2019,10
skin,GB,NL,2015,2019,10
skin,DE,FR,2015,2019,9
skin,DE,IT,2015,2019,9
skin,SG,US,2015,2019,9
skin,DK,GB,2015,2019,9
skin,CA,CN,2015,2019,8
skin,GB,SE,2015,2019,8
skin,BE,FR,2015,2019,8
skin,AU,SG,2015,2019,8
skin,DE,JP,2015,2019,8
skin,CH,FR,2015,2019,8
skin,CN,SG,2015,2019,8
skin,CN,JP,2015,2019,7
skin,BE,DE,2015,2019,7
skin,CN,US,2020,2024,259
skin,GB,US,2020,2024,218
skin,DE,US,2020,2024,183
skin,IT,US,2020,2024,132
skin,CA,US,2020,2024,129
skin,AU,US,2020,2024,125
skin,FR,US,2020,2024,121
skin,AU,GB,2020,2024,109
skin,KR,US,2020,2024,109
skin,JP,US,2020,2024,93
skin,ES,IT,2020,2024,91
skin,IN,US,2020,2024,88
skin,DE,FR,2020,2024,85
skin,FR,IT,2020,2024,83
skin,CH,US,2020,2024,76
skin,DE,IT,2020,2024,66
skin,GB,IT,2020,2024,66
skin,CH,DE,2020,2024,62
skin,BR,US,2020,2024,62
skin,NL,US,2020,2024,61
skin,ES,US,2020,2024,61
skin,DE,GB,2020,2024,61
skin,FR,GB,2020,2024,58
skin,CN,GB,2020,2024,49
skin,CH,FR,2020,2024,46
skin,CH,IT,2020,2024,46
skin,CH,GB,2020,2024,46
skin,DE,ES,2020,2024,46
skin,ES,FR,2020,2024,43
skin,CA,GB,2020,2024,42
skin,AU,DE,2020,2024,42
skin,GB,NL,2020,2024,41
skin,ES,GB,2020,2024,41
skin,IL,US,2020,2024,38
skin,BR,PT,2020,2024,37
skin,DE,NL,2020,2024,36
skin,PL,US,2020,2024,36
skin,AT,DE,2020,2024,35
skin,IT,TR,2020,2024,35
skin,IT,PL,2020,2024,35
skin,CN,KR,2020,2024,34
skin,CN,JP,2020,2024,34
skin,CN,DE,2020,2024,34
skin,SE,US,2020,2024,33
skin,AT,US,2020,2024,33
skin,TR,US,2020,2024,32
skin,GR,IT,2020,2024,32
skin,AU,IT,2020,2024,32
skin,EG,SA,2020,2024,31
skin,BE,DE,2020,2024,30
skeletal,IR,MY,2010,2014,1
skeletal,AE,US,2010,2014,1
skeletal,GB,IE,2010,2014,1
skeletal,GB,IT,2010,2014,1
skeletal,IE,IT,2010,2014,1
skeletal,CN,US,2010,2014,1
skeletal,DK,IT,2010,2014,1
skeletal,CA,MX,2010,2014,1
skeletal,CN,US,2015,2019,61
skeletal,GB,US,2015,2019,55
skeletal,CA,US,2015,2019,46
skeletal,AU,US,2015,2019,42
skeletal,FR,US,2015,2019,40
skeletal,DE,US,2015,2019,34
skeletal,KR,US,2015,2019,30
skeletal,IT,US,2015,2019,30
skeletal,DE,GB,2015,2019,29
skeletal,NL,US,2015,2019,29
skeletal,JP,US,2015,2019,29
skeletal,GB,IT,2015,2019,25
skeletal,FR,GB,2015,2019,23
skeletal,AU,GB,2015,2019,22
skeletal,CH,US,2015,2019,22
skeletal,BR,US,2015,2019,20
skeletal,CN,DE,2015,2019,19
skeletal,SE,US,2015,2019,19
skeletal,GB,NL,2015,2019,16
skeletal,DE,NL,2015,2019,16
skeletal,CA,GB,2015,2019,16
skeletal,ES,US,2015,2019,15
skeletal,CN,GB,2015,2019,15
skeletal,CH,DE,2015,2019,15
skeletal,DK,US,2015,2019,15
skeletal,DE,FR,2015,2019,14
skeletal,CA,DE,2015,2019,14
skeletal,CH,GB,2015,2019,13
skeletal,BR,CA,2015,2019,13
skeletal,DE,DK,2015,2019,12
skeletal,AU,DK,2015,2019,11
skeletal,CH,FR,2015,2019,10
skeletal,AU,DE,2015,2019,10
skeletal,FR,IT,2015,2019,10
skeletal,DK,SE,2015,2019,10
skeletal,ES,GB,2015,2019,9
skeletal,AU,CN,2015,2019,9
skeletal,FR,NL,2015,2019,9
skeletal,IN,US,2015,2019,9
skeletal,CA,NL,2015,2019,9
skeletal,DK,GB,2015,2019,9
skeletal,AU,BR,2015,2019,9
skeletal,GB,SE,2015,2019,9
skeletal,DE,IT,2015,2019,9
