country,year,author_count
LT,2023,38
LU,2015,1
LU,2016,5
LU,2017,9
LU,2018,9
LU,2019,17
LU,2020,44
LU,2021,36
LU,2022,55
LU,2023,23
LV,2017,4
LV,2018,12
LV,2019,13
LV,2020,34
LV,2021,60
LV,2022,50
LV,2023,8
LY,2017,2
LY,2018,1
LY,2019,1
LY,2020,5
LY,2021,4
LY,2022,1
LY,2023,2
MA,2015,1
MA,2016,4
MA,2017,8
MA,2018,18
MA,2019,28
MA,2020,57
MA,2021,89
MA,2022,85
MA,2023,22
MC,2019,3
MC,2020,3
MC,2021,9
MC,2022,4
MC,2023,2
MD,2020,1
MD,2021,1
MD,2022,2
MD,2023,2
ME,2020,1
ME,2021,1
ME,2022,4
MG,2015,1
MG,2017,2
MG,2019,1
MG,2020,2
MG,2021,7
MG,2022,6
MG,2023,1
MK,2016,1
MK,2017,1
MK,2018,6
MK,2019,2
MK,2020,9
MK,2021,20
MK,2022,12
MK,2023,3
ML,2016,1
ML,2018,1
ML,2019,1
ML,2020,2
ML,2021,2
ML,2022,3
MM,2017,2
MM,2019,3
MM,2020,8
MM,2021,9
MM,2022,8
MM,2023,3
MN,2016,1
MN,2017,1
MN,2018,2
MN,2019,5
MN,2020,6
MN,2021,7
MN,2022,11
MN,2023,4
MQ,2017,1
MQ,2018,2
MQ,2019,1
MQ,2020,3
MQ,2021,2
MQ,2022,5
MR,2019,1
MR,2020,1
MR,2021,2
MT,2014,1
MT,2017,5
MT,2018,3
MT,2019,4
MT,2020,7
MT,2021,17
MT,2022,26
MT,2023,3
MU,2019,1
MU,2020,6
MU,2021,3
MU,2022,4
MV,2017,1
MV,2020,2
MV,2021,1
MV,2022,2
MW,2016,1
MW,2018,8
MW,2019,6
MW,2020,12
MW,2021,18
MW,2022,19
MW,2023,2
MX,2014,12
MX,2015,17
MX,2016,58
MX,2017,133
MX,2018,278
MX,2019,473
MX,2020,621
MX,2021,891
MX,2022,1183
MX,2023,297
MY,2013,1
MY,2014,26
MY,2015,9
MY,2016,23
MY,2017,61
MY,2018,123
MY,2019,198
MY,2020,325
MY,2021,474
MY,2022,623
MY,2023,159
MZ,2018,6
MZ,2019,1
MZ,2020,6
MZ,2021,3
MZ,2022,4
MZ,2023,2
NC,2019,2
NC,2021,3
NC,2022,1
NC,2023,1
NE,2018,3
NE,2019,2
NE,2020,2
NE,2022,5
NG,2014,2
NG,2015,1
NG,2016,6
NG,2017,23
NG,2018,66
NG,2019,73
NG,2020,127
NG,2021,188
NG,2022,188
NG,2023,43
NI,2016,1
NI,2017,1
NI,2018,2
NI,2019,2
NI,2020,1
NI,2021,4
NI,2022,2
NI,2023,1
NL,2014,9
NL,2015,66
NL,2016,265
NL,2017,641
NL,2018,1176
NL,2019,1735
NL,2020,2393
NL,2021,3345
NL,2022,3935
NL,2023,1338
NO,2014,10
NO,2015,19
NO,2016,59
NO,2017,157
NO,2018,323
NO,2019,462
NO,2020,638
NO,2021,770
NO,2022,1030
NO,2023,229
NP,2016,1
NP,2017,10
NP,2018,8
NP,2019,21
NP,2020,49
NP,2021,59
NP,2022,86
NP,2023,25
NZ,2011,2
NZ,2015,21
NZ,2016,38
NZ,2017,105
NZ,2018,191
NZ,2019,273
NZ,2020,343
NZ,2021,524
NZ,2022,549
NZ,2023,174
OM,2015,1
OM,2016,2
OM,2017,6
OM,2018,5
OM,2019,8
OM,2020,15
OM,2021,34
OM,2022,49
OM,2023,10
PA,2014,1
PA,2017,1
PA,2018,5
