iri,pref_label,type
https://purl.org/ccf/ASCTB-TEMP_splat412,splat_412,CT
http://purl.obolibrary.org/obo/CL_1000329,tracheal goblet cell,CT
http://purl.obolibrary.org/obo/PCL_0015083,exc l3-5 rorb tnnt2,CT
http://purl.obolibrary.org/obo/CL_0000649,keratinocytes (spinous),CT
http://purl.obolibrary.org/obo/CL_0000575,corneal epithelial cell,CT
https://purl.org/ccf/ASCTB-TEMP_ca4195,ca4_195,CT
http://purl.obolibrary.org/obo/PCL_0015009,inh l1 pax6 chrfam7a,CT
https://purl.org/ccf/ASCTB-TEMP_interstitial-fibroblast,interstitial fibroblast,CT
http://purl.obolibrary.org/obo/CL_0002652,ilv high endothelial venule endothelium,CT
https://purl.org/ccf/ASCTB-TEMP_thex372,thex_372,CT
http://purl.obolibrary.org/obo/CL_0002399,dendritic cell type 2 (dc2),CT
http://purl.obolibrary.org/obo/CL_0002399,dendritic cell type 3 (dc3),CT
http://purl.obolibrary.org/obo/CL_0002399,cdc2 myeloid dendritic cell,CT
http://purl.obolibrary.org/obo/CL_0002399,conventional dc 2,CT
http://purl.obolibrary.org/obo/CL_0002399,cdc2 cd1c-positive myeloid dendritic cell,CT
http://purl.obolibrary.org/obo/CL_0002399,conventional dendritic cell cdc2,CT
http://purl.obolibrary.org/obo/CL_4033022,mucus secreting cell of bronchus submucosal gland,CT
http://purl.obolibrary.org/obo/CL_0009079,thymic interlobular fibroblast,CT
http://purl.obolibrary.org/obo/CL_0000775,neutrophils,CT
http://purl.obolibrary.org/obo/CL_0000775,neutrophil,CT
http://purl.obolibrary.org/obo/CL_0000775,neutrophilic granulocyte,CT
https://purl.org/ccf/ASCTB-TEMP_thex447,thex_447,CT
https://purl.org/ccf/ASCTB-TEMP_mge240,mge_240,CT
http://purl.obolibrary.org/obo/PCL_0015014,inh l1 lamp5 bmp2,CT
http://purl.obolibrary.org/obo/CL_0000235,macrophage,CT
http://purl.obolibrary.org/obo/CL_0000235,macrophages,CT
http://purl.obolibrary.org/obo/CL_4033033,flat midget bipolar cell,CT
http://purl.obolibrary.org/obo/PCL_0015063,inh l2-5 pvalb hhipl1,CT
http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte,CT
http://purl.obolibrary.org/obo/CL_4023061,hippocampal ca4 neuron,CT
http://purl.obolibrary.org/obo/CL_0002059,conventional dendritic cell 1,CT
https://purl.org/ccf/ASCTB-TEMP_splat343,splat_343,CT
https://purl.org/ccf/ASCTB-TEMP_midi444,midi_444,CT
http://purl.obolibrary.org/obo/PCL_0015017,inh l1 sst p4ha3,CT
https://purl.org/ccf/ASCTB-TEMP_dlit152,dlit_152,CT
https://purl.org/ccf/ASCTB-TEMP_lrl316,lrl_316,CT
http://purl.obolibrary.org/obo/CL_0009018,b cell,CT
http://purl.obolibrary.org/obo/CL_0009018,cd4+ t cell,CT
http://purl.obolibrary.org/obo/CL_0009018,nk cell,CT
http://purl.obolibrary.org/obo/CL_0009018,cd8+ t cell,CT
http://purl.obolibrary.org/obo/CL_0009018,innate lymphoid cell,CT
http://purl.obolibrary.org/obo/CL_0009018,regulatory cd4+ t cell,CT
http://purl.obolibrary.org/obo/CL_4030019,connecting tubule intercalated cell,CT
https://purl.org/ccf/ASCTB-TEMP_splat335,splat_335,CT
http://purl.obolibrary.org/obo/CL_0000576,monocyte,CT
http://purl.obolibrary.org/obo/CL_0000654,primary oocyte,CT
http://purl.obolibrary.org/obo/PCL_0015061,inh l3-5 pvalb isg20,CT
http://purl.obolibrary.org/obo/CL_0009078,thymic capsular fibroblast,CT
https://purl.org/ccf/ASCTB-TEMP_cge286,cge_286,CT
http://purl.obolibrary.org/obo/PCL_0015085,exc l5 themis vill,CT
https://purl.org/ccf/ASCTB-TEMP_cge287,cge_287,CT
http://purl.obolibrary.org/obo/CL_0000084,t cell,CT
